hhid,upm,nvivi,nhoga,dpto,area,año,fex_2022,facpob,dominio,ipcm,lnipcm,tipo_empleo,tipo_vivienda,tipo_pared,tipo_piso,tipo_techo,tipo_agua_proveedor,tipo_agua_vivienda,tipo_agua_proveedor_beber,tipo_agua_fuente_beber,tipo_banho_desague,tipo_combustible,tipo_basura,tipo_vivienda_propiedad,tipo_hogar,tiene_agua_24hrs,tiene_luz_electrica,tiene_linea_fija,tiene_celular,tiene_banho,tiene_computadora,tiene_tableta,tiene_internet,tiene_internet_cablewifi,tiene_internet_modem,tiene_radio,tiene_televisor,tiene_heladera,tiene_cocina_gas,tiene_cocina_elec,tiene_lavarropas,tiene_videoDVD,tiene_termocalefon,tiene_acondicionador_aire,tiene_antena_parabolica,tiene_tv_cable,tiene_horno_microondas,tiene_horno_electrico,tiene_auto_camion,tiene_motocicleta,tiene_seguro,jefe,jefe_edad,jefe_anios_estudio,jefe_idioma,jefe_tipo_empleo,jefe_estado_civil,jefe_tiene_seguro,nro_dormitorios,nro_trabajo,nro_5menos,nro_6a14,nro_tiene_seguro,totpers,linea_pobreza_total,linea_pobreza_extrema,pobrezai,pobnopoi,pob_total,pob_ext,ipcm_median
10636_28_1,10636,28,1,6,6,2022,38.924076,77.848152,6,1175282.647504961,13.977019,4,1,3,1,4,2,2,2,2,7,4,1,1,4,1,1,0,1,1,0,0,0,,,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,.5,.5,72,2,1,4,3,1,2,2,0,0,1,2,589563,308878,3,0,0,0,1349961.5
10636_33_1,10636,33,1,6,6,2022,38.924076,116.77222,6,1626364.799308879,14.301858,3,1,4,4,4,2,2,2,2,2,4,1,1,3,1,1,0,1,1,1,0,0,,,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,.33333334,57,6,1,3,3,0,3,1,0,0,0,3,589563,308878,3,0,0,0,1349961.5
10636_35_1,10636,35,1,6,6,2022,38.924076,77.848152,6,1292756.885234138,14.072288,4,1,3,3,4,2,2,2,2,3,1,1,1,2,1,1,0,1,1,0,0,0,,,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.5,66,2,1,3,1,0,2,2,0,0,0,2,589563,308878,3,0,0,0,1349961.5
10636_38_1,10636,38,1,6,6,2022,38.924076,116.77222,6,304581.0606060607,12.626693,4,1,3,1,2,2,2,2,2,7,1,1,1,4,1,1,0,1,1,0,0,0,,,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,.33333334,58,6,1,4,5,0,2,1,1,0,0,3,589563,308878,1,1,1,1,1349961.5
10636_4_1,10636,4,1,6,6,2022,38.924076,116.77222,6,528463.3468899522,13.177729,4,1,4,3,4,2,2,2,2,7,1,1,1,2,1,1,0,1,1,0,0,0,,,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,.33333334,50,5,1,4,1,0,1,1,0,1,0,3,589563,308878,2,1,1,0,1349961.5
10636_5_1,10636,5,1,6,6,2022,38.924076,77.848152,6,476954.6650717703,13.075177,4,1,3,3,4,2,2,2,2,3,1,1,1,4,1,1,0,1,1,0,0,0,,,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,.5,89,3,1,9,4,0,2,1,0,0,0,2,589563,308878,2,1,1,0,1349961.5
10636_7_1,10636,7,1,6,6,2022,38.924076,155.6963,6,989575.1937799044,13.805031,2.5,1,3,4,4,2,2,2,2,3,4,1,1,2,1,1,0,1,1,0,0,0,,,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,.25,33,15,2,1,2,1,2,2,0,2,4,4,589563,308878,3,0,0,0,1349961.5
10636_8_1,10636,8,1,6,6,2022,38.924076,155.6963,6,225047.8468899522,12.324068,5,1,3,1,3,2,2,2,2,3,1,1,1,2,1,1,0,1,1,0,0,0,,,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,.25,63,6,1,4,1,0,3,4,0,0,0,4,589563,308878,1,1,1,1,1349961.5
10648_12_1,10648,12,1,6,6,2022,43.556065,174.22426,6,813769.7769568685,13.609433,5,1,3,4,4,2,2,2,2,2,4,1,1,2,1,1,0,1,1,0,0,0,,,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,.25,43,9,1,4,1,0,2,2,0,1,0,4,589563,308878,3,0,0,0,1349961.5
10648_18_1,10648,18,1,6,6,2022,43.556065,174.22426,6,439588.3284245203,12.993594,4,1,4,4,1,2,2,2,2,3,4,1,1,2,1,1,0,1,1,0,0,0,,,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,.25,32,15,1,3,1,0,2,2,0,2,0,4,589563,308878,2,1,1,0,1349961.5
