3940234,4,1,5,3,1,4,4,4,2,2,1,1,1,6,1,6,1,1,1,1,6,6,1,1,0,0,0,0,0,0,0,1,1,2,3,15,6,5,1,1,1,9,1,1,7,3,,,,6,6,6,6,0,6,4,6,6,7,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,0
4056275,4,6,5,2,2,4,4,4,2,2,1,1,1,6,1,6,1,1,1,6,6,6,1,1,0,0,0,1,0,1,0,1,1,5,4,3,6,5,,,,,,,7,3,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,0
4396483,4,6,3,2,2,4,4,3,2,2,1,1,1,6,1,6,6,1,1,1,6,6,1,1,0,0,0,0,0,0,0,1,1,3,3,2,6,5,,,,,,,7,3,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,0
4452892,4,1,3,2,1,3,1,4,2,2,1,1,6,6,1,6,6,1,1,3,6,6,1,1,0,0,0,0,0,0,0,1,1,1,1,27,6,2,1,1,1,3,6,6,7,3,,,,1,6,6,6,0,6,3,6,6,6,,,,,,,,,,,,,,,,,,,,,,6,1,,,,,0
4776488,4,1,6,3,2,3,4,4,4,2,1,1,1,6,1,6,1,1,1,1,6,6,1,1,0,1,0,0,0,1,0,1,1,2,2,37,6,1,1,1,1,3,5,6,7,3,,,,6,6,6,6,0,6,3,6,6,6,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,1
4974875,4,6,2,1,1,4,4,3,2,2,1,1,6,6,1,6,6,1,1,6,6,6,6,1,0,0,0,0,0,0,0,1,1,1,1,26,6,5,1,1,1,9,3,6,7,3,,,,1,6,6,6,0,6,3,6,6,6,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,0
5092916,4,1,3,2,1,4,4,4,2,2,1,1,1,6,1,6,1,3,4,1,6,6,6,1,0,0,0,0,0,0,0,1,1,2,2,42,1,2,1,1,1,3,2,6,7,3,,,,1,1,,,1,,,,,,8,9,9,9,9,9,9,0,1,,6,4,6,,,,,,,,,1,1,,,,,0
5167312,4,6,5,3,1,3,4,4,6,6,4,1,1,6,1,3,1,1,1,6,6,6,1,1,0,0,0,1,1,0,0,1,1,1,1,24,6,1,1,1,1,3,6,6,7,3,,,,1,6,6,6,0,1,,6,6,6,,,,,,,,,,,,,,,,,,,,,,6,1,,,,,0
5342505,4,6,3,2,2,4,4,3,2,2,1,1,6,6,1,6,1,1,1,1,6,6,6,0,0,0,0,0,0,0,0,1,1,3,3,11,6,5,1,1,1,3,5,1,7,3,,,,6,6,6,6,0,6,4,6,6,7,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,0
5452284,4,1,4,3,1,4,4,4,2,2,2,1,1,6,1,3,1,3,1,1,6,6,1,1,0,1,0,0,0,0,1,1,1,1,1,31,6,2,1,1,1,4,9,6,7,3,,,,1,6,6,6,0,6,3,6,6,6,,,,,,,,,,,,,,,,,,,,,,6,1,,,,,1
